hgnc_symbol	class	group	family	subfamily	krsa_id	uka_id	ptmsea_id	kea3_id	entrez_gene_id	full_name	previous_symbol	synonym_1	synonym_2	synonym_3	synonym_4	synonym_5	synonym_6	synonym_7	synonym_8	synonym_9	synonym_10	synonym_11	synonym_12	synonym_13	other_designation_1	other_designation_2	other_designation_3	other_designation_4	other_designation_5	other_designation_6	other_designation_7	other_designation_8	other_designation_9	other_designation_10
ADCK4	N/A	Atypical	ABC1	ABC1-A	N/A	N/A	N/A	N/A	79934	aarF domain containing kinase 4	ADCK4	COQ8	FLJ12229	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CABC1	N/A	Atypical	ABC1	ABC1-A	N/A	ADCK3	N/A	N/A	56997	"chaperone, ABC1 activity of bc1 complex homolog (S. pombe)"	ADCK3	ADCK3	COQ8	MGC4849	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"chaperone, ABC1 activity of bc1 complex like"	"chaperone, ABC1 activity of bc1 complex like (S. pombe)"	"chaperone-ABC1 (activity of bc1 complex, S.pombe)-like"	chaperone-ABC1-like	coenzyme Q8 homolog	N/A	N/A	N/A	N/A	N/A
ADCK1	N/A	Atypical	ABC1	ABC1-B	Not found by Jake	ADCK1	Not found by Ethan	Not found	57143	aarF domain containing kinase 1	ADCK1	FLJ39600	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADCK5	N/A	Atypical	ABC1	ABC1-B	Not Found By Ethan	N/A	Not found by Ethan	Not found	203054	aarF domain containing kinase 5	ADCK5	FLJ35454	MGC126708	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADCK2	N/A	Atypical	ABC1	ABC1-C	Not Found By Ethan	N/A	Not found by Ethan	Not found	90956	aarF domain containing kinase 2	ADCK2	AARF	MGC20727	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	putative ubiquinone biosynthesis protein AarF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ABL1	N/A	TK	Abl	N/A	ABL	Abl	Abl/ABL1	ABL1	25	v-abl Abelson murine leukemia viral oncogene homolog 1	ABL	ABL	JTK7	c-ABL	p150	v-abl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Abelson murine leukemia viral (v-abl) oncogene homolog 1	bcr/c-abl oncogene protein	proto-oncogene tyrosine-protein kinase ABL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ABL2	N/A	TK	Abl	N/A	ABL	Arg	Not found by Jake	ABL2	27	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)"	ARG	ABLL	ARG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Abelson murine leukemia viral (v-abl) oncogene homolog 2	Abelson-related gene	v-abl Abelson murine leukemia viral oncogene homolog 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNK1	N/A	TK	Ack	N/A	N/A	Tnk1	Not found by Jake	Not found	8711	"tyrosine kinase, non-receptor, 1"	TNK1	MGC46193	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	tyrosine kinase non-receceptor 1	tyrosine kinase non-receptor 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNK2	N/A	TK	Ack	N/A	ACK	Ack1	Not found by Jake	TNK2	10188	"tyrosine kinase, non-receptor, 2"	ACK	ACK	ACK1	FLJ44758	FLJ45547	p21cdc42Hs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	activated Cdc42-associated kinase 1	activated p21cdc42Hs kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AKT1	STK	AGC	Akt	N/A	AKT	Akt1/PKB[alpha]	Akt1/AKT1	AKT1	207	v-akt murine thymoma viral oncogene homolog 1	AKT1	AKT	MGC99656	PKB	PRKBA	RAC	RAC-ALPHA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RAC-alpha serine/threonine-protein kinase	murine thymoma viral (v-akt) oncogene homolog-1	protein kinase B	rac protein kinase alpha	N/A	N/A	N/A	N/A	N/A	N/A
AKT2	STK	AGC	Akt	N/A	AKT	Akt2/PKB[beta]	Akt2/AKT2	AKT2	208	v-akt murine thymoma viral oncogene homolog 2	AKT2	PKBBETA	PRKBB	RAC-BETA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Murine thymoma viral (v-akt) homolog-2	rac protein kinase beta	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
