entrez_gene_id	hgnc_id	hgnc_symbol	hgnc_name	group	family	subfamily	krsa_id	uka_id	ptmsea_id	kea3_id	full_name	previous_symbol	synonym_1	synonym_2	synonym_3	synonym_4	synonym_5	synonym_6	synonym_7	synonym_8	synonym_9	synonym_10	synonym_11	synonym_12	synonym_13	other_designation_1	other_designation_2	other_designation_3	other_designation_4	other_designation_5	other_designation_6	other_designation_7	other_designation_8	other_designation_9	other_designation_10
57143	HGNC:19038	ADCK1	aarF domain containing kinase 1	Atypical	ABC1	ABC1-B	N/A	ADCK1	N/A	Not found	aarF domain containing kinase 1	ADCK1	FLJ39600	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
90956	HGNC:19039	ADCK2	aarF domain containing kinase 2	Atypical	ABC1	ABC1-C	N/A	N/A	N/A	Not found	aarF domain containing kinase 2	ADCK2	AARF	MGC20727	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	putative ubiquinone biosynthesis protein AarF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
203054	HGNC:21738	ADCK5	aarF domain containing kinase 5	Atypical	ABC1	ABC1-B	N/A	N/A	N/A	Not found	aarF domain containing kinase 5	ADCK5	FLJ35454	MGC126708	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
56997	HGNC:16812	COQ8A	coenzyme Q8A	Atypical	ABC1	ABC1-A	N/A	ADCK3	N/A	Not found	"chaperone, ABC1 activity of bc1 complex homolog (S. pombe)"	ADCK3	ADCK3	COQ8	MGC4849	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"chaperone, ABC1 activity of bc1 complex like"	"chaperone, ABC1 activity of bc1 complex like (S. pombe)"	"chaperone-ABC1 (activity of bc1 complex, S.pombe)-like"	chaperone-ABC1-like	coenzyme Q8 homolog	N/A	N/A	N/A	N/A	N/A
79934	HGNC:19041	COQ8B	coenzyme Q8B	Atypical	ABC1	ABC1-A	N/A	N/A	N/A	Not found	aarF domain containing kinase 4	ADCK4	COQ8	FLJ12229	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
25	HGNC:76	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	TK	Abl	N/A	ABL	Abl	Abl/ABL1	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	ABL	ABL	JTK7	c-ABL	p150	v-abl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Abelson murine leukemia viral (v-abl) oncogene homolog 1	bcr/c-abl oncogene protein	proto-oncogene tyrosine-protein kinase ABL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
27	HGNC:77	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	TK	Abl	N/A	ABL	Arg	N/A	ABL2	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)"	ARG	ABLL	ARG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Abelson murine leukemia viral (v-abl) oncogene homolog 2	Abelson-related gene	v-abl Abelson murine leukemia viral oncogene homolog 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8711	HGNC:11940	TNK1	tyrosine kinase non receptor 1	TK	Ack	N/A	ACK	Tnk1	N/A	Not found	"tyrosine kinase, non-receptor, 1"	TNK1	MGC46193	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	tyrosine kinase non-receceptor 1	tyrosine kinase non-receptor 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10188	HGNC:19297	TNK2	tyrosine kinase non receptor 2	TK	Ack	N/A	ACK	Ack1	N/A	TNK2	"tyrosine kinase, non-receptor, 2"	ACK	ACK	ACK1	FLJ44758	FLJ45547	p21cdc42Hs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	activated Cdc42-associated kinase 1	activated p21cdc42Hs kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
207	HGNC:391	AKT1	AKT serine/threonine kinase 1	AGC	Akt	N/A	AKT	Akt1/PKB[alpha]	Akt1/AKT1	AKT1	v-akt murine thymoma viral oncogene homolog 1	AKT1	AKT	MGC99656	PKB	PRKBA	RAC	RAC-ALPHA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RAC-alpha serine/threonine-protein kinase	murine thymoma viral (v-akt) oncogene homolog-1	protein kinase B	rac protein kinase alpha	N/A	N/A	N/A	N/A	N/A	N/A
