Kinase	Observed	SamplingAvg	SD	Z
DDR	31	21.1485	2.6548016377627857	3.710823385020174
TEC	92	81.8975	3.094314324785121	3.2648590090153675
SRC	101	94.618	2.7005040939018303	2.3632624791836387
ABL	44	37.631	3.1427340626744513	2.026579364650413
PDGFR	86	79.9815	3.187983589933443	1.8878704454453148
INSR	24	19.4095	2.5123625798969504	1.8271646125967562
FRK	11	7.904	1.6962377814757363	1.8252158004088688
MET	23	20.5325	2.610239534068195	0.9453155420392676
SYK	78	74.992	3.232670889611284	0.9304999187101586
CSK	45	41.954	3.3401290740202745	0.9119408060281177
FAK	36	33.398	3.0856695672639995	0.8432529612388592
SEV	1	0.599	0.490223581215543	0.8179941058846925
ACK	1	0.6245	0.48437285073511743	0.7752292462926347
JAK	17	18.761	2.4766804341671675	-0.7110323866196205
VEGFR	17	18.639	2.495554627021466	-0.6567678311879731
EGFR	80	78.154	3.27881980744061	0.5630074564667704
FER	6	5.5095	1.3992457590956635	0.35054599723569035
RYK	1	1.223	0.6902964976206314	-0.3230495892252882
AXL	36	35.111	3.181625428956887	0.2794169269295369
RET	7	7.2925	1.5865693653842021	-0.18436004525346983
EPH	22	22.327	2.6904814337163647	-0.12153958615068988
ALK	30	29.7155	2.9985088423479587	0.09488049392484893
TRK	12	12.1885	2.0661806070986497	-0.09123113408013878
FGFR	31	30.812	3.0974914409265573	0.06069427586336191
