Kinase	Observed	SamplingAvg	SD	Z
ERK	14	26.7845	2.9124389951465464	-4.389619841412925
DYRK	14	24.6165	2.9694842428162787	-3.5751999781387083
DMPK	56	46.6905	2.640112658093156	3.526175283263808
PKA	37	27.249	2.901932046896068	3.3601751668960538
PKG	31	21.7505	2.7579073183100613	3.3538110358500868
JNK	13	21.7905	2.7441528633566925	-3.203356532131129
RSK	47	37.636	2.9238294049404794	3.2026492326048075
PDK1	20	28.5015	2.976815154528765	-2.855904568701983
PLK	13	20.804	2.824813938455672	-2.762659831771593
CDK	38	45.2785	2.6732959068353717	-2.7226690398880073
P38	16	23.5245	2.858756021943198	-2.632088902390953
STE7	16	23.197	2.796802111524073	-2.5732961121364815
AKT	25	18.184	2.679502540945514	2.54375575161606
NMO	1	5.0525	1.610602610945727	-2.5161389733625352
AMPK	16	10.9075	2.249772096734161	2.263562610360592
RIPK	23	17.3335	2.6653010458168542	2.126026254667733
MST	7	11.4565	2.260234961467617	-1.9716976668241175
PKCA	59	54.992	2.109540490377056	1.8999398296847192
AUR	8	5.0175	1.5948245930952316	1.8701116178623578
LKB	2	4.984	1.605936959148266	-1.8581053154057876
ATM	0	1.796	0.9699765085885362	-1.8515912334964215
STE11	2	4.5335	1.5162543532111676	-1.6708938013166985
PIM	37	32.202	2.879642715873888	1.666178923361313
RAD53	19	14.8705	2.524859839397883	1.6355363317849694
BARK2	0	1.3415	0.8545424924693434	-1.569845867024718
CAMK1	13	9.569	2.186922567252343	1.5688712766409099
PAKA	19	15.0255	2.5618609087258872	1.5514113145106982
MTOR	8	11.3585	2.294473807875678	-1.4637342943171108
PHK	48	44.0825	2.737963106213357	1.4308081767463832
MAPKAPK	26	22.195	2.863053184411422	1.3290008095962844
TTK	0	0.9035	0.6836822805443806	-1.3215202817317278
NAK	0	0.931	0.7053281107909538	-1.3199530626334717
RAF	8	10.827	2.152065680537347	-1.313621617391403
PKN	0	0.892	0.6888927976422178	-1.294831362808452
TLK	0	0.881	0.6899833610452208	-1.2768423845256467
NUAK	0	0.9145	0.7179467067525753	-1.273771425370104
CHK1	8	5.8415	1.7093386643186503	1.2627690726579262
GSK	7	9.5555	2.08280791106554	-1.2269494399474583
PKD	23	19.5645	2.81492480376038	1.220458889491688
MLCK	1	2.278	1.0910138200672752	-1.1713875447711513
COT	1	2.2555	1.094449020891181	-1.1471525635590405
KHS	1	0.435	0.4958809826707284	1.1393863038606735
PEK	41	44.1035	2.7511037850321114	-1.1280926648006382
BRSK	1	0.452	0.49781513632570223	1.1008102406140252
TAO	1	0.456	0.49818479909268965	1.0919642690639106
PASK	1	0.4615	0.49864022203941566	1.079936948923935
FRAY	7	9.166	2.037773358381659	-1.062924878809965
MARK	4	2.7375	1.1946997127738213	1.05675090275929
DAPK	13	10.8875	2.1916307564656834	0.9638941202881766
SLK	0	0.462	0.49867859405641735	-0.9264484289207976
MOS	0	0.4595	0.49848168672078413	-0.9217991598102198
BUD32	0	0.453	0.49791059185233183	-0.9098018949842882
ULK	0	0.4525	0.4978631175754245	-0.9088843580212544
NIK	0	0.451	0.49771765231978193	-0.9061362358718071
PDK	0	0.449	0.49751659407570553	-0.9024824605783442
WNK	0	0.441	0.496630970802849	-0.8879832832154698
CAMK2	6	7.7215	1.9575121140974887	-0.879432616330805
CLK	0	0.436	0.49601110220110334	-0.8790125827127708
CAMKK	0	0.432	0.4954783036366853	-0.871884796628287
PRKDC	4	5.4535	1.6683013410898948	-0.8712454783800834
IRAK	5	6.414	1.7714889462097334	-0.7981986018176321
NDR	3	2.2475	1.0806607533504287	0.6963332365564171
VRK1	3	2.276	1.098830156965547	0.6588825355861622
PKCD	7	5.876	1.7309309810129678	0.649361535687701
PKCH	6	7.2185	1.8954033942708626	-0.6428710656966725
PKCI	6	4.9835	1.593580088589643	0.6378719257841801
CK1	17	18.59	2.715803342272218	-0.5854621265285366
SGK	13	11.8135	2.312659063929006	0.5130457915332494
CK2	3	3.7035	1.372052846834718	-0.5127353524486699
PDHK	29	28.1395	2.946248451840066	0.29206633930094283
NEK	9	9.528	2.12802261269002	-0.2481176641880506
GRK	5	5.3855	1.6505307861224428	-0.23356122966094287
IKK	27	26.3875	2.8608453240229523	0.21409755880779197
MSN	2	1.815	0.991093402796393	0.18666252794945287
HAL	1	0.8975	0.6929890813955634	0.1479099783124754
MELK	13	12.687	2.3213628244376925	0.13483458798639938
PAKB	1	0.912	0.7010718585676062	0.12552208297134765
MLK	8	8.2455	1.9685444708379929	-0.12471143204374374
STKR	3	3.1425	1.3130330452387498	-0.10852735238974065
QIK	32	32.2495	2.931645787524775	-0.08510577951187397
ATR	6	5.9515	1.7537632658932043	0.027654815757187368
