Kinase	Score	Rank	Method	Perc	Qrt	Uniprot_Gene	KinaseFamily
CDK4	2.74472749489669	1	UKA	1	1	CDK4	CDK
MAPK14	2.39458837268355	3	UKA	0.9736842105263158	1	MAPK14	p38
ANP[alpha]	2.56245105598283	2	UKA	0.9868421052631579	1	NPR1	HAL
CHK1	2.11884157339123	4	UKA	0.9605263157894737	1	CHEK1	NA
CDC2/CDK1	1.82406917438975	5	UKA	0.9473684210526315	1	CDK1	CDK
CHK2	1.72067533730853	6	UKA	0.9342105263157895	1	CHEK2	NA
mTOR/FRAP	1.51938729422613	8	UKA	0.9078947368421053	1	MTOR	MTOR
MAPKAPK3	1.5934852979232	7	UKA	0.9210526315789473	1	MAPKAPK3	MAPKAPK
HGK/ZC1	1.3819053084575	10	UKA	0.881578947368421	1	NA	NA
ATR	1.28576324289952	13	UKA	0.8421052631578947	1	ATR	ATR
PRKY	1.28653391702103	12	UKA	0.8552631578947368	1	PRKY	PKA
p38[delta]	1.44622229351289	9	UKA	0.8947368421052632	1	MAPK13	p38
MAPKAPK2	1.22729074751175	15	UKA	0.8157894736842105	1	MAPKAPK2	MAPKAPK
JNK1	1.19393631284006	16	UKA	0.8026315789473685	1	MAPK8	JNK
JNK3	1.2298849058024801	14	UKA	0.8289473684210527	1	MAPK10	JNK
CDKL5	1.36313515975542	11	UKA	0.868421052631579	1	CDKL5	NA
CK1[alpha]	1.10640582992469	17	UKA	0.7894736842105263	1	CSNK1A1	CK1
AurB/Aur1	1.02135500380266	18	UKA	0.7763157894736842	1	AURKB	AUR
AurA/Aur2	1.01310348133674	19	UKA	0.7631578947368421	1	AURKA	AUR
AMPK[alpha]1	0.823695544813184	23	UKA	0.7105263157894737	2	PRKAA1	AMPK
PAK1	0.964273031167121	20	UKA	0.75	1	PAK1	PAKA
PAK1	0.964273031167121	20	UKA	0.75	1	PKN1	PKN
ADCK3	0.84572269472638	21	UKA	0.7368421052631579	2	COQ8A	NA
p70S6K[beta]	0.825206608096783	22	UKA	0.7236842105263158	2	RPS6KB2	RSK
IKK[epsilon]	0.81282953249811	25	UKA	0.6842105263157895	2	IKBKE	IKK
TBK1	0.813449705632408	24	UKA	0.6973684210526315	2	TBK1	IKK
DAPK2	0.786329596858665	27	UKA	0.6578947368421053	2	DAPK2	DAPK
DAPK2	0.786329596858665	27	UKA	0.6578947368421053	2	STK17B	DAPK
PKG2	0.780715906850181	28	UKA	0.6447368421052632	2	PRKG2	PKG
PKC[gamma]	0.809462702438252	26	UKA	0.6710526315789473	2	PRKCG	PKCA
JNK2	0.742237025989441	32	UKA	0.5921052631578947	2	MAPK9	JNK
p38[beta]	0.773049934550999	29	UKA	0.631578947368421	2	MAPK11	p38
ERK1	0.744547802779788	30	UKA	0.618421052631579	2	MAPK3	ERK
PKC[delta]	0.635230185334796	35	UKA	0.5526315789473685	2	PRKCD	PKCD
SGK2	0.65956156219135	33	UKA	0.5789473684210527	2	SGK3	SGK
SGK2	0.65956156219135	33	UKA	0.5789473684210527	2	SGK2	SGK
CDK2	0.591957651782297	36	UKA	0.5394736842105263	2	CDK2	CDK
p70S6K	0.54620864979752	40	UKA	0.4868421052631579	3	RPS6KB1	RSK
PKC[epsilon]	0.54188090651414	41	UKA	0.47368421052631576	3	PRKCE	PKCH
CDK7	0.547319520294793	39	UKA	0.5	2	CDK7	CDK
IKK[alpha]	0.503732640981915	45	UKA	0.42105263157894735	3	CHUK	IKK
CDK3	0.532648996605112	42	UKA	0.4605263157894737	3	CDK3	CDK
Pim1	0.571094251018499	38	UKA	0.5131578947368421	2	PIM1	PIM
ARAF	0.511370806725056	44	UKA	0.4342105263157895	3	ARAF	RAF
BRAF	0.495512655859715	46	UKA	0.40789473684210525	3	BRAF	RAF
IKK[beta]	0.744276637331707	31	UKA	0.6052631578947368	2	IKBKB	IKK
CaMK4	0.650779884079836	34	UKA	0.5657894736842105	2	CAMK4	CAMK1
CaMK4	0.650779884079836	34	UKA	0.5657894736842105	2	CAMKK1	CAMKK
PKA[alpha]	0.525692748392656	43	UKA	0.4473684210526316	3	NA	NA
ERK5	0.462622846983119	48	UKA	0.3815789473684211	3	MAPK7	ERK
PKC[eta]	0.458328342921606	49	UKA	0.3684210526315789	3	PRKCH	PKCH
RAF1	0.435014974511276	54	UKA	0.3026315789473684	3	RAF1	RAF
ERK2	0.427454655548283	56	UKA	0.27631578947368424	3	MAPK1	ERK
RSKL2	0.45627779911407	50	UKA	0.35526315789473684	3	RPS6KL1	NA
RSK3	0.451055346902775	51	UKA	0.34210526315789475	3	RPS6KA2	RSK
CK1[epsilon]	0.446723953862901	52	UKA	0.32894736842105265	3	CSNK1E	CK1
PKC[theta]	0.441445066761952	53	UKA	0.3157894736842105	3	PRKCQ	PKCD
PKC[zeta]	0.406530912382613	59	UKA	0.23684210526315788	4	PRKCZ	PKCI
PFTAIRE1	0.42248841816748	57	UKA	0.2631578947368421	3	CDK14	CDK
Akt2/PKB[beta]	0.397731228768103	62	UKA	0.19736842105263158	4	AKT2	AKT
ROCK1	0.363912525855539	67	UKA	0.13157894736842105	4	ROCK1	DMPK
PKD1	0.409905519647371	58	UKA	0.25	3	PRKD1	PKD
GSK3[beta]	0.403244149833478	60	UKA	0.2236842105263158	4	GSK3B	GSK
Akt1/PKB[alpha]	0.399782579562137	61	UKA	0.21052631578947367	4	AKT1	AKT
PKC[iota]	0.43299503532782	55	UKA	0.2894736842105263	3	PRKCI	PKCI
PKC[alpha]	0.382024308910994	65	UKA	0.15789473684210525	4	PRKCA	PKCA
Pim3	0.395524281379963	63	UKA	0.18421052631578946	4	PIM3	PIM
PRKX	0.577234771302069	37	UKA	0.5263157894736842	2	PRKX	PKA
PFTAIRE2	0.487537629440311	47	UKA	0.39473684210526316	3	CDK15	CDK
