Kinase	Score	Rank	Method	Perc	Qrt	Uniprot_Gene	KinaseFamily
CK1[alpha]	1.5668026966349	2	UKA	0.9863013698630136	1	CSNK1A1	CK1
CK2[alpha]1	1.54665792598492	3	UKA	0.9726027397260274	1	CSNK2A1	CK2
p70S6K	1.84491073189772	1	UKA	1	1	RPS6KB1	RSK
ADCK3	1.17824606234926	6	UKA	0.9315068493150684	1	COQ8A	NA
mTOR/FRAP	1.24110570779988	5	UKA	0.9452054794520548	1	MTOR	MTOR
AurA/Aur2	1.32109813739426	4	UKA	0.958904109589041	1	AURKA	AUR
CaMK2[alpha]	1.16063485530431	7	UKA	0.9178082191780822	1	CAMK2A	CAMK2
CDK4	1.12136332697348	8	UKA	0.9041095890410958	1	CDK4	CDK
DAPK3	1.0056652471001	9	UKA	0.8904109589041096	1	DAPK3	DAPK
Pim1	0.609747541156257	18	UKA	0.7671232876712328	1	PIM1	PIM
CK1[epsilon]	0.896990361417489	10	UKA	0.8767123287671232	1	CSNK1E	CK1
CDKL5	0.871999469321085	11	UKA	0.863013698630137	1	CDKL5	NA
CDC2/CDK1	0.849017451792421	12	UKA	0.8493150684931506	1	CDK1	CDK
ATR	0.799873963303037	13	UKA	0.8356164383561644	1	ATR	ATR
CDK7	0.621493166802627	17	UKA	0.7808219178082192	1	CDK7	CDK
SGK2	0.758343364472701	14	UKA	0.821917808219178	1	SGK3	SGK
SGK2	0.758343364472701	14	UKA	0.821917808219178	1	SGK2	SGK
CHK2	0.669798966542443	15	UKA	0.8082191780821918	1	CHEK2	NA
IKK[beta]	0.570779786546436	21	UKA	0.726027397260274	2	IKBKB	IKK
ANP[alpha]	0.624519626495643	16	UKA	0.7945205479452054	1	NPR1	HAL
DAPK2	0.599516443718077	19	UKA	0.7534246575342466	1	DAPK2	DAPK
DAPK2	0.599516443718077	19	UKA	0.7534246575342466	1	STK17B	DAPK
MAPKAPK3	0.54385731059991	22	UKA	0.7123287671232876	2	MAPKAPK3	MAPKAPK
RAF1	0.361975107411523	30	UKA	0.6027397260273972	2	RAF1	RAF
PRKX	0.596101911164971	20	UKA	0.7397260273972602	2	PRKX	PKA
MAPKAPK2	0.504123219095142	24	UKA	0.684931506849315	2	MAPKAPK2	MAPKAPK
PKC[zeta]	0.358869679199221	31	UKA	0.589041095890411	2	PRKCZ	PKCI
PFTAIRE1	0.418393927471461	27	UKA	0.6438356164383562	2	CDK14	CDK
AurB/Aur1	0.423650106676369	26	UKA	0.6575342465753424	2	AURKB	AUR
ROCK1	0.398396333557586	29	UKA	0.6164383561643836	2	ROCK1	DMPK
Akt1/PKB[alpha]	0.416697578455845	28	UKA	0.6301369863013698	2	AKT1	AKT
PKC[alpha]	0.349220121740209	32	UKA	0.5753424657534246	2	PRKCA	PKCA
CHK1	0.43232900699649	25	UKA	0.6712328767123288	2	CHEK1	NA
AMPK[alpha]1	0.33504130142309	33	UKA	0.5616438356164384	2	PRKAA1	AMPK
CDK3	0.247809162232547	48	UKA	0.3561643835616438	3	CDK3	CDK
CaMK4	0.284436006584966	43	UKA	0.4246575342465753	3	CAMK4	CAMK1
CaMK4	0.284436006584966	43	UKA	0.4246575342465753	3	CAMKK1	CAMKK
JNK2	0.273912796016327	44	UKA	0.410958904109589	3	MAPK9	JNK
IKK[alpha]	0.25988547034723	46	UKA	0.3835616438356164	3	CHUK	IKK
PKD1	0.301920782069266	37	UKA	0.5068493150684932	2	PRKD1	PKD
JNK1	0.299270594864782	39	UKA	0.4794520547945205	3	MAPK8	JNK
JNK3	0.300702597348349	38	UKA	0.4931506849315068	3	MAPK10	JNK
IKK[epsilon]	0.302831699235567	36	UKA	0.5205479452054794	2	IKBKE	IKK
Pim3	0.313551894408509	34	UKA	0.547945205479452	2	PIM3	PIM
ERK2	0.292011659442205	41	UKA	0.4520547945205479	3	MAPK1	ERK
PKC[theta]	0.269116224539036	45	UKA	0.3972602739726027	3	PRKCQ	PKCD
