Kinase	Score	Rank	Method	Perc	Qrt	Uniprot_Gene	KinaseFamily
PKC[alpha]	3.91353874995737	2	UKA	0.9770114942528736	1	PRKCA	PKCA
PKA[alpha]	3.91353874995737	2	UKA	0.9770114942528736	1	NA	NA
PKC[delta]	4	1	UKA	1	1	PRKCD	PKCD
PKC[gamma]	3.48592113083251	5	UKA	0.9425287356321839	1	PRKCG	PKCA
PKC[beta]	3.47614833412638	6	UKA	0.9310344827586207	1	PRKCB	PKCA
PKC[eta]	3.53844470147858	3	UKA	0.9655172413793104	1	PRKCH	PKCH
PKC[theta]	3.50959611142238	4	UKA	0.9540229885057471	1	PRKCQ	PKCD
PKG1	3.46223833504424	7	UKA	0.9195402298850575	1	PRKG1	PKG
PKC[epsilon]	2.95199673293138	8	UKA	0.9080459770114943	1	PRKCE	PKCH
PKC[iota]	2.5137514353145902	11	UKA	0.8735632183908046	1	PRKCI	PKCI
Pim2	2.52434482965414	10	UKA	0.8850574712643678	1	PIM2	PIM
SGK2	2.39691119217674	12	UKA	0.8620689655172413	1	SGK3	SGK
SGK2	2.39691119217674	12	UKA	0.8620689655172413	1	SGK2	SGK
PKC[zeta]	2.58570713207006	9	UKA	0.896551724137931	1	PRKCZ	PKCI
ROCK2	2.29531605742768	14	UKA	0.8390804597701149	1	ROCK2	DMPK
Pim1	2.3013216551852	13	UKA	0.8505747126436781	1	PIM1	PIM
DAPK2	2.27504675558474	15	UKA	0.8275862068965517	1	DAPK2	DAPK
DAPK2	2.27504675558474	15	UKA	0.8275862068965517	1	STK17B	DAPK
PKG2	2.26814236474744	16	UKA	0.8160919540229885	1	PRKG2	PKG
Akt2/PKB[beta]	1.96277925044167	19	UKA	0.7816091954022989	1	AKT2	AKT
PRKX	2.16316076791431	17	UKA	0.8045977011494253	1	PRKX	PKA
CK2[alpha]1	1.92458032110002	21	UKA	0.7586206896551724	1	CSNK2A1	CK2
Pim3	1.98233424157581	18	UKA	0.7931034482758621	1	PIM3	PIM
p70S6K[beta]	1.93743251876835	20	UKA	0.7701149425287356	1	RPS6KB2	RSK
Akt1/PKB[alpha]	1.81478224186317	22	UKA	0.7471264367816092	2	AKT1	AKT
CDK10	1.79584441538437	24	UKA	0.7241379310344828	2	CDK10	CDK
RSK1/p90RSK	1.76415610816643	26	UKA	0.7011494252873564	2	RPS6KA1	RSK
TBK1	1.79418342331732	25	UKA	0.7126436781609196	2	TBK1	IKK
AMPK[alpha]1	1.8004353142686	23	UKA	0.735632183908046	2	PRKAA1	AMPK
RSK2	1.61880888954153	28	UKA	0.6781609195402298	2	RPS6KA3	RSK
CaMK4	1.64917184226551	27	UKA	0.6896551724137931	2	CAMK4	CAMK1
CaMK4	1.64917184226551	27	UKA	0.6896551724137931	2	CAMKK1	CAMKK
IKK[epsilon]	1.59662757245027	29	UKA	0.6666666666666666	2	IKBKE	IKK
HGK/ZC1	1.50456372017898	31	UKA	0.6436781609195402	2	NA	NA
AurA/Aur2	1.48850471053462	32	UKA	0.632183908045977	2	AURKA	AUR
MSK1	1.48198739371057	33	UKA	0.6206896551724138	2	RPS6KA5	RSK
MSK1	1.48198739371057	33	UKA	0.6206896551724138	2	SIK1	QIK
PFTAIRE1	1.475166194967	36	UKA	0.5862068965517241	2	CDK14	CDK
TNIK/ZC2	1.46984098162238	37	UKA	0.5747126436781609	2	TNIK	MSN
CK1[epsilon]	1.46852108295774	38	UKA	0.5632183908045977	2	CSNK1E	CK1
RSK3	1.4758856934213	35	UKA	0.5977011494252874	2	RPS6KA2	RSK
PFTAIRE2	1.40099248892585	42	UKA	0.5172413793103449	2	CDK15	CDK
AurB/Aur1	1.38628274521725	43	UKA	0.5057471264367817	2	AURKB	AUR
IKK[alpha]	1.43654897668826	40	UKA	0.5402298850574713	2	CHUK	IKK
p70S6K	1.51196632054763	30	UKA	0.6551724137931034	2	RPS6KB1	RSK
MSK2	1.40410826518284	41	UKA	0.5287356321839081	2	RPS6KA4	RSK
ATR	1.36902058521042	45	UKA	0.4827586206896552	3	ATR	ATR
NuaK1	1.3701293156799	44	UKA	0.4942528735632184	3	NUAK1	NuaK
ADCK3	1.4793092715154	34	UKA	0.6091954022988506	2	COQ8A	NA
RAF1	1.25921429305111	47	UKA	0.45977011494252873	3	RAF1	RAF
GSK3[beta]	1.27188649759171	46	UKA	0.47126436781609193	3	GSK3B	GSK
PRKY	1.19976430609195	51	UKA	0.41379310344827586	3	PRKY	PKA
PKD1	1.22670528440283	49	UKA	0.4367816091954023	3	PRKD1	PKD
mTOR/FRAP	1.21409131447481	50	UKA	0.42528735632183906	3	MTOR	MTOR
ROCK1	1.4379343536724	39	UKA	0.5517241379310345	2	ROCK1	DMPK
BRAF	1.17783192063198	53	UKA	0.39080459770114945	3	BRAF	RAF
CK1[alpha]	1.19931226264651	52	UKA	0.40229885057471265	3	CSNK1A1	CK1
IKK[beta]	1.11958841167055	54	UKA	0.3793103448275862	3	IKBKB	IKK
DAPK3	1.11861534322943	55	UKA	0.367816091954023	3	DAPK3	DAPK
PCTAIRE2	1.11125903931711	56	UKA	0.3563218390804598	3	CDK17	CDK
CHK1	1.09781646900419	57	UKA	0.3448275862068966	3	CHEK1	NA
SgK307	1.09170399791156	58	UKA	0.3333333333333333	3	TEX14	NA
PKN1/PRK1	1.22950983443661	48	UKA	0.4482758620689655	3	NA	NA
p38[beta]	1.06783493636046	63	UKA	0.27586206896551724	3	MAPK11	p38
JNK2	1.07645359780789	60	UKA	0.3103448275862069	3	MAPK9	JNK
ANP[alpha]	1.06819107699988	62	UKA	0.28735632183908044	3	NPR1	HAL
ERK7	1.06298389253519	64	UKA	0.26436781609195403	3	MAPK15	ERK
CDK9	1.08303821512678	59	UKA	0.3218390804597701	3	CDK9	CDK
CDK3	1.05375630965008	66	UKA	0.2413793103448276	4	CDK3	CDK
MAPKAPK3	1.04633380801416	68	UKA	0.21839080459770116	4	MAPKAPK3	MAPKAPK
CDKL1	1.07191899341512	61	UKA	0.2988505747126437	3	CDKL1	NA
p38[delta]	1.04094647991893	69	UKA	0.20689655172413793	4	MAPK13	p38
CHK2	1.06013915451376	65	UKA	0.25287356321839083	3	CHEK2	NA
MAPKAPK2	1.04734726369561	67	UKA	0.22988505747126436	4	MAPKAPK2	MAPKAPK
CDK7	1.02636183926774	70	UKA	0.19540229885057472	4	CDK7	CDK
CDKL5	0.823126075257066	79	UKA	0.09195402298850575	4	CDKL5	NA
PAK1	1.01959916998718	71	UKA	0.1839080459770115	4	PAK1	PAKA
PAK1	1.01959916998718	71	UKA	0.1839080459770115	4	PKN1	PKN
JNK1	1.01915888848454	72	UKA	0.1724137931034483	4	MAPK8	JNK
JNK3	1.01700800770235	73	UKA	0.16091954022988506	4	MAPK10	JNK
ERK1	1.00505957533107	74	UKA	0.14942528735632185	4	MAPK3	ERK
CDC2/CDK1	0.894987834866686	77	UKA	0.11494252873563218	4	CDK1	CDK
MAPK14	0.976303503869712	75	UKA	0.13793103448275862	4	MAPK14	p38
CDK2	0.845737460121878	78	UKA	0.10344827586206896	4	CDK2	CDK
ERK5	0.747936804961164	80	UKA	0.08045977011494253	4	MAPK7	ERK
RSKL2	0.917226896905849	76	UKA	0.12643678160919541	4	RPS6KL1	NA
ERK2	0.743048047878769	81	UKA	0.06896551724137931	4	MAPK1	ERK
CDK4	0.579632791004248	82	UKA	0.05747126436781609	4	CDK4	CDK
CDK6	0.473257096048956	85	UKA	0.022988505747126436	4	CDK6	CDK
CDK5	0.525833869503537	84	UKA	0.034482758620689655	4	CDK5	CDK
p38[gamma]	0.5690441036567	83	UKA	0.04597701149425287	4	NA	NA
CDK11	0.0510997099134094	86	UKA	0.011494252873563218	4	NA	NA
CDKL2	0.0461920023346928	87	UKA	0	4	CDKL2	NA
ERK	-4.389619841412925	1	KRSA	1	1	MAPK1	ERK
ERK	-4.389619841412925	1	KRSA	1	1	MAPK15	ERK
ERK	-4.389619841412925	1	KRSA	1	1	MAPK3	ERK
ERK	-4.389619841412925	1	KRSA	1	1	MAPK7	ERK
ERK	-4.389619841412925	1	KRSA	1	1	MAPK6	ERK
ERK	-4.389619841412925	1	KRSA	1	1	MAPK4	ERK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	DYRK1A	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	DYRK1B	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	DYRK2	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	HIPK2	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	DYRK3	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	DYRK4	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	HIPK1	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	HIPK3	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	HIPK4	DYRK
DYRK	-3.5751999781387083	2	KRSA	0.9875	1	PRPF4B	DYRK
DMPK	3.526175283263808	3	KRSA	0.975	1	ROCK1	DMPK
DMPK	3.526175283263808	3	KRSA	0.975	1	ROCK2	DMPK
DMPK	3.526175283263808	3	KRSA	0.975	1	CDC42BPA	DMPK
DMPK	3.526175283263808	3	KRSA	0.975	1	DMPK	DMPK
DMPK	3.526175283263808	3	KRSA	0.975	1	CDC42BPB	DMPK
DMPK	3.526175283263808	3	KRSA	0.975	1	CDC42BPG	DMPK
DMPK	3.526175283263808	3	KRSA	0.975	1	CIT	DMPK
PKA	3.3601751668960538	4	KRSA	0.9625	1	PRKACA	PKA
PKA	3.3601751668960538	4	KRSA	0.9625	1	PRKX	PKA
PKA	3.3601751668960538	4	KRSA	0.9625	1	PRKY	PKA
PKA	3.3601751668960538	4	KRSA	0.9625	1	PRKACB	PKA
PKA	3.3601751668960538	4	KRSA	0.9625	1	PRKACG	PKA
PKG	3.3538110358500868	5	KRSA	0.95	1	PRKG1	PKG
PKG	3.3538110358500868	5	KRSA	0.95	1	PRKG2	PKG
JNK	-3.203356532131129	6	KRSA	0.9375	1	MAPK10	JNK
JNK	-3.203356532131129	6	KRSA	0.9375	1	MAPK8	JNK
JNK	-3.203356532131129	6	KRSA	0.9375	1	MAPK9	JNK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KA1	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KA3	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KA5	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KB1	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KB2	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KA2	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KA4	RSK
RSK	3.2026492326048075	7	KRSA	0.925	1	RPS6KA6	RSK
PDK1	-2.855904568701983	8	KRSA	0.9125	1	PDK1	PDK1
PDK1	-2.855904568701983	8	KRSA	0.9125	1	PDPK1	PDK1
PLK	-2.762659831771593	9	KRSA	0.9	1	PLK1	PLK
PLK	-2.762659831771593	9	KRSA	0.9	1	PLK3	PLK
PLK	-2.762659831771593	9	KRSA	0.9	1	PLK4	PLK
PLK	-2.762659831771593	9	KRSA	0.9	1	PLK2	PLK
PLK	-2.762659831771593	9	KRSA	0.9	1	PLK5	PLK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK1	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK2	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK3	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK4	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK5	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK6	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK7	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK8	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK9	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK12	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK14	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK15	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK16	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK20	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK10	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK11A	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK17	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK18	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK19	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK11B	CDK
CDK	-2.7226690398880073	10	KRSA	0.8875	1	CDK13	CDK
P38	-2.632088902390953	11	KRSA	0.875	1	NA	P38
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K1	STE7
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K4	STE7
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K6	STE7
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K7	STE7
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K2	STE7
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K3	STE7
STE7	-2.5732961121364815	12	KRSA	0.8625	1	MAP2K5	STE7
AKT	2.54375575161606	13	KRSA	0.85	1	AKT1	AKT
AKT	2.54375575161606	13	KRSA	0.85	1	AKT2	AKT
AKT	2.54375575161606	13	KRSA	0.85	1	AKT3	AKT
NMO	-2.5161389733625352	14	KRSA	0.8375	1	NA	NMO
AMPK	2.263562610360592	15	KRSA	0.825	1	PRKAA1	AMPK
AMPK	2.263562610360592	15	KRSA	0.825	1	PRKAA2	AMPK
RIPK	2.126026254667733	16	KRSA	0.8125	1	RIPK1	RIPK
RIPK	2.126026254667733	16	KRSA	0.8125	1	RIPK2	RIPK
RIPK	2.126026254667733	16	KRSA	0.8125	1	RIPK3	RIPK
RIPK	2.126026254667733	16	KRSA	0.8125	1	ANKK1	RIPK
RIPK	2.126026254667733	16	KRSA	0.8125	1	RIPK4	RIPK
MST	-1.9716976668241175	17	KRSA	0.8	1	STK3	MST
MST	-1.9716976668241175	17	KRSA	0.8	1	STK4	MST
PKCA	1.8999398296847192	18	KRSA	0.7875	1	PRKCA	PKCA
PKCA	1.8999398296847192	18	KRSA	0.7875	1	PRKCB	PKCA
PKCA	1.8999398296847192	18	KRSA	0.7875	1	PRKCG	PKCA
AUR	1.8701116178623578	19	KRSA	0.775	1	AURKA	AUR
AUR	1.8701116178623578	19	KRSA	0.775	1	AURKB	AUR
AUR	1.8701116178623578	19	KRSA	0.775	1	AURKC	AUR
LKB	-1.8581053154057876	20	KRSA	0.7625	1	STK11	LKB
